,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
85,2016-02-01,Energiesteuer,1685,1695,2,2016,1454.0
86,2016-03-01,Energiesteuer,4704,4620,3,2016,2925.0
87,2016-04-01,Energiesteuer,7631,7714,4,2016,3094.0
88,2016-05-01,Energiesteuer,10942,11066,5,2016,3352.0
89,2016-06-01,Energiesteuer,14215,14481,6,2016,3415.0
90,2016-07-01,Energiesteuer,17416,17846,7,2016,3365.0
91,2016-08-01,Energiesteuer,20783,21230,8,2016,3384.0
92,2016-09-01,Energiesteuer,24374,24629,9,2016,3399.0
93,2016-10-01,Energiesteuer,27715,28205,10,2016,3576.0
94,2016-11-01,Energiesteuer,31141,31706,11,2016,3501.0
95,2016-12-01,Energiesteuer,39594,40091,12,2016,8385.0
96,2017-01-01,Energiesteuer,241,277,1,2017,277.0
97,2017-02-01,Energiesteuer,1695,1740,2,2017,1463.0
98,2017-03-01,Energiesteuer,4620,4812,3,2017,3072.0
99,2017-04-01,Energiesteuer,7714,7806,4,2017,2994.0
100,2017-05-01,Energiesteuer,11066,11388,5,2017,3582.0
101,2017-06-01,Energiesteuer,14481,14903,6,2017,3515.0
102,2017-07-01,Energiesteuer,17846,18517,7,2017,3614.0
103,2017-08-01,Energiesteuer,21230,21973,8,2017,3456.0
104,2017-09-01,Energiesteuer,24629,25400,9,2017,3427.0
105,2017-10-01,Energiesteuer,28205,29036,10,2017,3636.0
106,2017-11-01,Energiesteuer,31706,32508,11,2017,3472.0
107,2017-12-01,Energiesteuer,40091,41022,12,2017,8514.0
108,2018-01-01,Energiesteuer,277,279,1,2018,279.0
109,2018-02-01,Energiesteuer,1740,1715,2,2018,1436.0
110,2018-03-01,Energiesteuer,4812,4865,3,2018,3150.0
111,2018-04-01,Energiesteuer,7806,8270,4,2018,3405.0
112,2018-05-01,Energiesteuer,11388,11414,5,2018,3144.0
113,2018-06-01,Energiesteuer,14903,15022,6,2018,3608.0
114,2018-07-01,Energiesteuer,18517,18526,7,2018,3504.0
115,2018-08-01,Energiesteuer,21973,21973,8,2018,3447.0
116,2018-09-01,Energiesteuer,25400,25445,9,2018,3472.0
117,2018-10-01,Energiesteuer,29036,29060,10,2018,3615.0
118,2018-11-01,Energiesteuer,32508,32368,11,2018,3308.0
119,2018-12-01,Energiesteuer,41022,40882,12,2018,8514.0
