,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
88,2016-05-01,Stromsteuer,2870,2778,5,2016,514.0
89,2016-06-01,Stromsteuer,3272,3200,6,2016,422.0
90,2016-07-01,Stromsteuer,3856,3746,7,2016,546.0
91,2016-08-01,Stromsteuer,4409,4293,8,2016,547.0
92,2016-09-01,Stromsteuer,4914,4841,9,2016,548.0
93,2016-10-01,Stromsteuer,5466,5415,10,2016,574.0
94,2016-11-01,Stromsteuer,5993,5946,11,2016,531.0
95,2016-12-01,Stromsteuer,6593,6569,12,2016,623.0
96,2017-01-01,Stromsteuer,588,526,1,2017,526.0
97,2017-02-01,Stromsteuer,1106,1024,2,2017,498.0
98,2017-03-01,Stromsteuer,1685,1746,3,2017,722.0
99,2017-04-01,Stromsteuer,2264,2328,4,2017,582.0
100,2017-05-01,Stromsteuer,2778,2843,5,2017,515.0
101,2017-06-01,Stromsteuer,3200,3530,6,2017,687.0
102,2017-07-01,Stromsteuer,3746,4061,7,2017,531.0
103,2017-08-01,Stromsteuer,4293,4591,8,2017,530.0
104,2017-09-01,Stromsteuer,4841,5158,9,2017,567.0
105,2017-10-01,Stromsteuer,5415,5731,10,2017,573.0
106,2017-11-01,Stromsteuer,5946,6289,11,2017,558.0
107,2017-12-01,Stromsteuer,6569,6944,12,2017,655.0
108,2018-01-01,Stromsteuer,526,586,1,2018,586.0
109,2018-02-01,Stromsteuer,1024,1132,2,2018,546.0
110,2018-03-01,Stromsteuer,1746,1725,3,2018,593.0
111,2018-04-01,Stromsteuer,2328,2316,4,2018,591.0
112,2018-05-01,Stromsteuer,2843,2856,5,2018,540.0
113,2018-06-01,Stromsteuer,3530,3530,6,2018,674.0
114,2018-07-01,Stromsteuer,4061,4062,7,2018,532.0
115,2018-08-01,Stromsteuer,4591,4643,8,2018,581.0
116,2018-09-01,Stromsteuer,5158,5208,9,2018,565.0
117,2018-10-01,Stromsteuer,5731,5775,10,2018,567.0
118,2018-11-01,Stromsteuer,6289,6337,11,2018,562.0
119,2018-12-01,Stromsteuer,6944,6858,12,2018,521.0
