,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
81,2015-10-01,Lohnsteuer,54989,58481,10,2015,5275.0
82,2015-11-01,Lohnsteuer,60503,64589,11,2015,6108.0
83,2015-12-01,Lohnsteuer,71420,76028,12,2015,11439.0
84,2016-01-01,Lohnsteuer,4745,4752,1,2016,4752.0
85,2016-02-01,Lohnsteuer,10503,10699,2,2016,5947.0
86,2016-03-01,Lohnsteuer,16016,16393,3,2016,5694.0
87,2016-04-01,Lohnsteuer,22197,22934,4,2016,6541.0
88,2016-05-01,Lohnsteuer,28020,28755,5,2016,5821.0
89,2016-06-01,Lohnsteuer,34827,35601,6,2016,6846.0
90,2016-07-01,Lohnsteuer,41515,42485,7,2016,6884.0
91,2016-08-01,Lohnsteuer,47644,48603,8,2016,6118.0
92,2016-09-01,Lohnsteuer,53206,54628,9,2016,6025.0
93,2016-10-01,Lohnsteuer,58481,60663,10,2016,6035.0
94,2016-11-01,Lohnsteuer,64589,66641,11,2016,5978.0
95,2016-12-01,Lohnsteuer,76028,78519,12,2016,11878.0
96,2017-01-01,Lohnsteuer,4752,5262,1,2017,5262.0
97,2017-02-01,Lohnsteuer,10699,11583,2,2017,6321.0
98,2017-03-01,Lohnsteuer,16393,17577,3,2017,5994.0
99,2017-04-01,Lohnsteuer,22934,24458,4,2017,6881.0
100,2017-05-01,Lohnsteuer,28755,30682,5,2017,6224.0
101,2017-06-01,Lohnsteuer,35601,38045,6,2017,7363.0
102,2017-07-01,Lohnsteuer,42485,45238,7,2017,7193.0
103,2017-08-01,Lohnsteuer,48603,51965,8,2017,6727.0
104,2017-09-01,Lohnsteuer,54628,58137,9,2017,6172.0
105,2017-10-01,Lohnsteuer,60663,64447,10,2017,6310.0
106,2017-11-01,Lohnsteuer,66641,70874,11,2017,6427.0
107,2017-12-01,Lohnsteuer,78519,83121,12,2017,12247.0
108,2018-01-01,Lohnsteuer,5262,5603,1,2018,5603.0
109,2018-02-01,Lohnsteuer,11583,12298,2,2018,6695.0
110,2018-03-01,Lohnsteuer,17577,18669,3,2018,6371.0
111,2018-04-01,Lohnsteuer,24458,25958,4,2018,7289.0
112,2018-05-01,Lohnsteuer,30682,32753,5,2018,6795.0
113,2018-06-01,Lohnsteuer,38045,40473,6,2018,7720.0
114,2018-07-01,Lohnsteuer,45238,48230,7,2018,7757.0
115,2018-08-01,Lohnsteuer,51965,55255,8,2018,7025.0
116,2018-09-01,Lohnsteuer,58137,61910,9,2018,6655.0
117,2018-10-01,Lohnsteuer,64447,68715,10,2018,6805.0
118,2018-11-01,Lohnsteuer,70874,75641,11,2018,6926.0
119,2018-12-01,Lohnsteuer,83121,88520,12,2018,12879.0
