,Date,Category,Prior Year Total,Current Year Total,Month,Year,Monthly Total
75,2015-04-01,Solidaritätszuschlag,4486,4747,4,2015,964.0
76,2015-05-01,Solidaritätszuschlag,5523,5886,5,2015,1139.0
77,2015-06-01,Solidaritätszuschlag,7532,8061,6,2015,2175.0
78,2015-07-01,Solidaritätszuschlag,8485,9088,7,2015,1027.0
79,2015-08-01,Solidaritätszuschlag,9340,9962,8,2015,874.0
80,2015-09-01,Solidaritätszuschlag,11030,11775,9,2015,1813.0
81,2015-10-01,Solidaritätszuschlag,11857,12626,10,2015,851.0
82,2015-11-01,Solidaritätszuschlag,12644,13427,11,2015,801.0
83,2015-12-01,Solidaritätszuschlag,15047,15930,12,2015,2503.0
84,2016-01-01,Solidaritätszuschlag,1079,1105,1,2016,1105.0
85,2016-02-01,Solidaritätszuschlag,1980,2038,2,2016,933.0
86,2016-03-01,Solidaritätszuschlag,3783,3979,3,2016,1941.0
87,2016-04-01,Solidaritätszuschlag,4747,5014,4,2016,1035.0
88,2016-05-01,Solidaritätszuschlag,5886,6244,5,2016,1230.0
89,2016-06-01,Solidaritätszuschlag,8061,8449,6,2016,2205.0
90,2016-07-01,Solidaritätszuschlag,9088,9530,7,2016,1081.0
91,2016-08-01,Solidaritätszuschlag,9962,10438,8,2016,908.0
92,2016-09-01,Solidaritätszuschlag,11775,12387,9,2016,1949.0
93,2016-10-01,Solidaritätszuschlag,12626,13289,10,2016,902.0
94,2016-11-01,Solidaritätszuschlag,13427,14119,11,2016,830.0
95,2016-12-01,Solidaritätszuschlag,15930,16855,12,2016,2736.0
96,2017-01-01,Solidaritätszuschlag,1105,1129,1,2017,1129.0
97,2017-02-01,Solidaritätszuschlag,2038,2162,2,2017,1033.0
98,2017-03-01,Solidaritätszuschlag,3979,4324,3,2017,2162.0
99,2017-04-01,Solidaritätszuschlag,5014,5461,4,2017,1137.0
100,2017-05-01,Solidaritätszuschlag,6244,6687,5,2017,1226.0
101,2017-06-01,Solidaritätszuschlag,8449,9133,6,2017,2446.0
102,2017-07-01,Solidaritätszuschlag,9530,10266,7,2017,1133.0
103,2017-08-01,Solidaritätszuschlag,10438,11237,8,2017,971.0
104,2017-09-01,Solidaritätszuschlag,12387,13276,9,2017,2039.0
105,2017-10-01,Solidaritätszuschlag,13289,14194,10,2017,918.0
106,2017-11-01,Solidaritätszuschlag,14119,15102,11,2017,908.0
107,2017-12-01,Solidaritätszuschlag,16855,17953,12,2017,2851.0
108,2018-01-01,Solidaritätszuschlag,1129,1222,1,2018,1222.0
109,2018-02-01,Solidaritätszuschlag,2162,2360,2,2018,1138.0
110,2018-03-01,Solidaritätszuschlag,4324,4587,3,2018,2227.0
111,2018-04-01,Solidaritätszuschlag,5461,5785,4,2018,1198.0
112,2018-05-01,Solidaritätszuschlag,6687,7139,5,2018,1354.0
113,2018-06-01,Solidaritätszuschlag,9133,9714,6,2018,2575.0
114,2018-07-01,Solidaritätszuschlag,10266,10885,7,2018,1171.0
115,2018-08-01,Solidaritätszuschlag,11237,11923,8,2018,1038.0
116,2018-09-01,Solidaritätszuschlag,13276,14067,9,2018,2144.0
117,2018-10-01,Solidaritätszuschlag,14194,15066,10,2018,999.0
118,2018-11-01,Solidaritätszuschlag,15102,16044,11,2018,978.0
119,2018-12-01,Solidaritätszuschlag,17953,18927,12,2018,2883.0
