,Category,Current Year Total,Date,Difference Method,Month,Monthly Total,Percentage Method,Prior Year Total,Rolling Total,Year
2008-01-01,Lohnsteuer,3728.0,2008-01-01,,1,3728.0,,0.0,,2008
2008-02-01,Lohnsteuer,8197.0,2008-02-01,,2,4469.0,,0.0,,2008
2008-03-01,Lohnsteuer,12562.0,2008-03-01,,3,4365.0,,0.0,,2008
2008-04-01,Lohnsteuer,17352.0,2008-04-01,,4,4790.0,,0.0,,2008
2008-05-01,Lohnsteuer,22211.0,2008-05-01,,5,4859.0,,0.0,,2008
2008-06-01,Lohnsteuer,27287.0,2008-06-01,,6,5076.0,,0.0,,2008
2008-07-01,Lohnsteuer,32641.0,2008-07-01,,7,5354.0,,0.0,,2008
2008-08-01,Lohnsteuer,37337.0,2008-08-01,,8,4696.0,,0.0,,2008
2008-09-01,Lohnsteuer,41802.0,2008-09-01,,9,4465.0,,0.0,,2008
2008-10-01,Lohnsteuer,46310.0,2008-10-01,,10,4508.0,,0.0,,2008
2008-11-01,Lohnsteuer,50926.0,2008-11-01,,11,4616.0,,0.0,,2008
2008-12-01,Lohnsteuer,60310.0,2008-12-01,,12,9384.0,,0.0,60310.0,2008
2009-01-01,Lohnsteuer,3984.0,2009-01-01,,1,3984.0,,3728.0,60566.0,2009
2009-02-01,Lohnsteuer,8611.0,2009-02-01,,2,4627.0,,8197.0,60724.0,2009
2009-03-01,Lohnsteuer,12986.0,2009-03-01,,3,4375.0,,12562.0,60734.0,2009
2009-04-01,Lohnsteuer,16126.0,2009-04-01,,4,3140.0,,17352.0,59084.0,2009
2009-05-01,Lohnsteuer,21109.0,2009-05-01,,5,4983.0,,22211.0,59208.0,2009
2009-06-01,Lohnsteuer,25933.0,2009-06-01,,6,4824.0,,27287.0,58956.0,2009
2009-07-01,Lohnsteuer,31073.0,2009-07-01,,7,5140.0,,32641.0,58742.0,2009
2009-08-01,Lohnsteuer,35367.0,2009-08-01,,8,4294.0,,37337.0,58340.0,2009
2009-09-01,Lohnsteuer,39641.0,2009-09-01,,9,4274.0,,41802.0,58149.0,2009
2009-10-01,Lohnsteuer,44015.0,2009-10-01,,10,4374.0,,46310.0,58015.0,2009
2009-11-01,Lohnsteuer,48278.0,2009-11-01,,11,4263.0,,50926.0,57662.0,2009
2009-12-01,Lohnsteuer,57248.0,2009-12-01,,12,8970.0,,60310.0,57248.0,2009
2010-01-01,Lohnsteuer,3579.0,2010-01-01,,1,3579.0,,3984.0,56843.0,2010
2010-02-01,Lohnsteuer,7588.0,2010-02-01,,2,4009.0,,8611.0,56225.0,2010
2010-03-01,Lohnsteuer,11465.0,2010-03-01,,3,3877.0,,12986.0,55727.0,2010
2010-04-01,Lohnsteuer,15878.0,2010-04-01,,4,4413.0,,16126.0,57000.0,2010
2010-05-01,Lohnsteuer,19842.0,2010-05-01,,5,3964.0,,21109.0,55981.0,2010
2010-06-01,Lohnsteuer,24490.0,2010-06-01,,6,4648.0,,25933.0,55805.0,2010
2010-07-01,Lohnsteuer,29297.0,2010-07-01,,7,4807.0,,31074.0,55472.0,2010
2010-08-01,Lohnsteuer,33410.0,2010-08-01,,8,4113.0,,35367.0,55291.0,2010
2010-09-01,Lohnsteuer,37457.0,2010-09-01,,9,4047.0,,39641.0,55064.0,2010
2010-10-01,Lohnsteuer,41569.0,2010-10-01,,10,4112.0,,44015.0,54802.0,2010
2010-11-01,Lohnsteuer,45702.0,2010-11-01,,11,4133.0,,48278.0,54672.0,2010
2010-12-01,Lohnsteuer,54759.0,2010-12-01,,12,9057.0,,57248.0,54759.0,2010
2011-01-01,Lohnsteuer,3473.0,2011-01-01,,1,3473.0,,3579.0,54653.0,2011
2011-02-01,Lohnsteuer,7872.0,2011-02-01,,2,4399.0,,7588.0,55043.0,2011
2011-03-01,Lohnsteuer,12146.0,2011-03-01,,3,4274.0,,11465.0,55440.0,2011
2011-04-01,Lohnsteuer,16989.0,2011-04-01,,4,4843.0,,15878.0,55870.0,2011
2011-05-01,Lohnsteuer,21483.0,2011-05-01,,5,4494.0,,19842.0,56400.0,2011
2011-06-01,Lohnsteuer,26657.0,2011-06-01,,6,5174.0,,24490.0,56926.0,2011
2011-07-01,Lohnsteuer,31945.0,2011-07-01,,7,5288.0,,29297.0,57407.0,2011
2011-08-01,Lohnsteuer,36458.0,2011-08-01,,8,4513.0,,33410.0,57807.0,2011
2011-09-01,Lohnsteuer,40887.0,2011-09-01,,9,4429.0,,37457.0,58189.0,2011
2011-10-01,Lohnsteuer,45400.0,2011-10-01,,10,4513.0,,41569.0,58590.0,2011
2011-11-01,Lohnsteuer,50046.0,2011-11-01,,11,4646.0,,45702.0,59103.0,2011
2011-12-01,Lohnsteuer,59475.0,2011-12-01,,12,9429.0,,54759.0,59475.0,2011
2012-01-01,Lohnsteuer,3587.0,2012-01-01,,1,3587.0,,3473.0,59589.0,2012
2012-02-01,Lohnsteuer,8207.0,2012-02-01,,2,4620.0,,7872.0,59810.0,2012
2012-03-01,Lohnsteuer,12743.0,2012-03-01,,3,4536.0,,12146.0,60072.0,2012
2012-04-01,Lohnsteuer,17904.0,2012-04-01,,4,5161.0,,16989.0,60390.0,2012
2012-05-01,Lohnsteuer,22523.0,2012-05-01,,5,4619.0,,21483.0,60515.0,2012
2012-06-01,Lohnsteuer,28078.0,2012-06-01,,6,5555.0,,26657.0,60896.0,2012
2012-07-01,Lohnsteuer,33808.0,2012-07-01,,7,5730.0,,31945.0,61338.0,2012
2012-08-01,Lohnsteuer,38877.0,2012-08-01,,8,5069.0,,36458.0,61894.0,2012
2012-09-01,Lohnsteuer,43624.0,2012-09-01,,9,4747.0,,40887.0,62212.0,2012
2012-10-01,Lohnsteuer,48421.0,2012-10-01,,10,4797.0,,45400.0,62496.0,2012
2012-11-01,Lohnsteuer,53202.0,2012-11-01,,11,4781.0,,50046.0,62631.0,2012
2012-12-01,Lohnsteuer,63136.0,2012-12-01,,12,9934.0,,59475.0,63136.0,2012
2013-01-01,Lohnsteuer,4031.0,2013-01-01,,1,4031.0,,3587.0,63580.0,2013
2013-02-01,Lohnsteuer,9047.0,2013-02-01,,2,5016.0,,8207.0,63976.0,2013
2013-03-01,Lohnsteuer,13852.0,2013-03-01,,3,4805.0,,12743.0,64245.0,2013
2013-04-01,Lohnsteuer,19285.0,2013-04-01,,4,5433.0,,17904.0,64517.0,2013
2013-05-01,Lohnsteuer,24300.0,2013-05-01,,5,5015.0,,22523.0,64913.0,2013
2013-06-01,Lohnsteuer,30333.0,2013-06-01,,6,6033.0,,28078.0,65391.0,2013
2013-07-01,Lohnsteuer,36202.0,2013-07-01,,7,5869.0,,33808.0,65530.0,2013
2013-08-01,Lohnsteuer,41481.0,2013-08-01,,8,5279.0,,38877.0,65740.0,2013
2013-09-01,Lohnsteuer,46518.0,2013-09-01,,9,5037.0,,43624.0,66030.0,2013
2013-10-01,Lohnsteuer,51642.0,2013-10-01,,10,5124.0,,48421.0,66357.0,2013
2013-11-01,Lohnsteuer,56754.0,2013-11-01,,11,5112.0,,53202.0,66688.0,2013
2013-12-01,Lohnsteuer,67174.0,2013-12-01,,12,10420.0,,63136.0,67174.0,2013
2014-01-01,Lohnsteuer,4406.0,2014-01-01,,1,4406.0,,4031.0,67549.0,2014
2014-02-01,Lohnsteuer,9845.0,2014-02-01,,2,5439.0,,9047.0,67972.0,2014
2014-03-01,Lohnsteuer,15008.0,2014-03-01,,3,5163.0,,13852.0,68330.0,2014
2014-04-01,Lohnsteuer,20756.0,2014-04-01,,4,5748.0,,19285.0,68645.0,2014
2014-05-01,Lohnsteuer,25992.0,2014-05-01,,5,5236.0,,24300.0,68866.0,2014
2014-06-01,Lohnsteuer,32314.0,2014-06-01,,6,6322.0,,30333.0,69155.0,2014
2014-07-01,Lohnsteuer,38600.0,2014-07-01,,7,6286.0,,36202.0,69572.0,2014
2014-08-01,Lohnsteuer,44271.0,2014-08-01,,8,5671.0,,41481.0,69964.0,2014
2014-09-01,Lohnsteuer,49545.0,2014-09-01,,9,5274.0,,46518.0,70201.0,2014
2014-10-01,Lohnsteuer,54989.0,2014-10-01,,10,5444.0,,51642.0,70521.0,2014
2014-11-01,Lohnsteuer,60503.0,2014-11-01,,11,5514.0,,56754.0,70923.0,2014
2014-12-01,Lohnsteuer,71420.0,2014-12-01,,12,10917.0,,67174.0,71420.0,2014
2015-01-01,Lohnsteuer,4745.0,2015-01-01,,1,4745.0,,4406.0,71759.0,2015
2015-02-01,Lohnsteuer,10503.0,2015-02-01,,2,5758.0,,9845.0,72078.0,2015
2015-03-01,Lohnsteuer,16016.0,2015-03-01,,3,5513.0,,15008.0,72428.0,2015
2015-04-01,Lohnsteuer,22197.0,2015-04-01,,4,6181.0,,20756.0,72861.0,2015
2015-05-01,Lohnsteuer,28020.0,2015-05-01,,5,5823.0,,25992.0,73448.0,2015
2015-06-01,Lohnsteuer,34827.0,2015-06-01,,6,6807.0,,32314.0,73933.0,2015
2015-07-01,Lohnsteuer,41515.0,2015-07-01,,7,6688.0,,38600.0,74335.0,2015
2015-08-01,Lohnsteuer,47644.0,2015-08-01,,8,6129.0,,44271.0,74793.0,2015
2015-09-01,Lohnsteuer,53206.0,2015-09-01,,9,5562.0,,49545.0,75081.0,2015
2015-10-01,Lohnsteuer,58481.0,2015-10-01,,10,5275.0,,54989.0,74912.0,2015
2015-11-01,Lohnsteuer,64589.0,2015-11-01,,11,6108.0,,60503.0,75506.0,2015
2015-12-01,Lohnsteuer,76028.0,2015-12-01,,12,11439.0,,71420.0,76028.0,2015
2016-01-01,Lohnsteuer,4752.0,2016-01-01,,1,4752.0,,4745.0,76035.0,2016
2016-02-01,Lohnsteuer,10699.0,2016-02-01,,2,5947.0,,10503.0,76224.0,2016
2016-03-01,Lohnsteuer,16393.0,2016-03-01,,3,5694.0,,16016.0,76405.0,2016
2016-04-01,Lohnsteuer,22934.0,2016-04-01,,4,6541.0,,22197.0,76765.0,2016
2016-05-01,Lohnsteuer,28755.0,2016-05-01,,5,5821.0,,28020.0,76763.0,2016
2016-06-01,Lohnsteuer,35601.0,2016-06-01,,6,6846.0,,34827.0,76802.0,2016
2016-07-01,Lohnsteuer,42485.0,2016-07-01,,7,6884.0,,41515.0,76998.0,2016
2016-08-01,Lohnsteuer,48603.0,2016-08-01,,8,6118.0,,47644.0,76987.0,2016
2016-09-01,Lohnsteuer,54628.0,2016-09-01,,9,6025.0,,53206.0,77450.0,2016
2016-10-01,Lohnsteuer,60663.0,2016-10-01,,10,6035.0,,58481.0,78210.0,2016
2016-11-01,Lohnsteuer,66641.0,2016-11-01,,11,5978.0,,64589.0,78080.0,2016
2016-12-01,Lohnsteuer,78519.0,2016-12-01,,12,11878.0,,76028.0,78519.0,2016
2017-01-01,Lohnsteuer,5262.0,2017-01-01,,1,5262.0,,4752.0,79029.0,2017
2017-02-01,Lohnsteuer,11583.0,2017-02-01,,2,6321.0,,10699.0,79403.0,2017
2017-03-01,Lohnsteuer,17577.0,2017-03-01,,3,5994.0,,16393.0,79703.0,2017
2017-04-01,Lohnsteuer,24458.0,2017-04-01,,4,6881.0,,22934.0,80043.0,2017
2017-05-01,Lohnsteuer,30682.0,2017-05-01,,5,6224.0,,28755.0,80446.0,2017
2017-06-01,Lohnsteuer,38045.0,2017-06-01,,6,7363.0,,35601.0,80963.0,2017
2017-07-01,Lohnsteuer,45238.0,2017-07-01,,7,7193.0,,42485.0,81272.0,2017
2017-08-01,Lohnsteuer,51965.0,2017-08-01,,8,6727.0,,48603.0,81881.0,2017
2017-09-01,Lohnsteuer,58137.0,2017-09-01,,9,6172.0,,54628.0,82028.0,2017
2017-10-01,Lohnsteuer,64447.0,2017-10-01,,10,6310.0,,60663.0,82303.0,2017
2017-11-01,Lohnsteuer,70874.0,2017-11-01,,11,6427.0,,66641.0,82752.0,2017
2017-12-01,Lohnsteuer,83121.0,2017-12-01,,12,12247.0,,78519.0,83121.0,2017
2018-01-01,Lohnsteuer,5603.0,2018-01-01,,1,5603.0,,5262.0,83462.0,2018
2018-02-01,Lohnsteuer,12298.0,2018-02-01,,2,6695.0,,11583.0,83836.0,2018
2018-03-01,Lohnsteuer,18669.0,2018-03-01,,3,6371.0,,17577.0,84213.0,2018
2018-04-01,Lohnsteuer,25958.0,2018-04-01,,4,7289.0,,24458.0,84621.0,2018
2018-05-01,Lohnsteuer,32753.0,2018-05-01,,5,6795.0,,30682.0,85192.0,2018
2018-06-01,Lohnsteuer,40473.0,2018-06-01,,6,7720.0,,38045.0,85549.0,2018
2018-07-01,Lohnsteuer,48230.0,2018-07-01,,7,7757.0,,45238.0,86113.0,2018
2018-08-01,Lohnsteuer,55255.0,2018-08-01,,8,7025.0,,51965.0,86411.0,2018
2018-09-01,Lohnsteuer,61910.0,2018-09-01,,9,6655.0,,58137.0,86894.0,2018
2018-10-01,Lohnsteuer,68715.0,2018-10-01,,10,6805.0,,64447.0,87389.0,2018
2018-11-01,Lohnsteuer,75641.0,2018-11-01,,11,6926.0,,70874.0,87888.0,2018
2018-12-01,Lohnsteuer,88520.0,2018-12-01,,12,12879.0,,83121.0,88520.0,2018
2008-01-01,Veranlagte Einkommensteuer,337.0,2008-01-01,,1,337.0,,0.0,,2008
2008-02-01,Veranlagte Einkommensteuer,347.0,2008-02-01,,2,10.0,,0.0,,2008
2008-03-01,Veranlagte Einkommensteuer,1567.0,2008-03-01,,3,1220.0,,0.0,,2008
2008-04-01,Veranlagte Einkommensteuer,1997.0,2008-04-01,,4,430.0,,0.0,,2008
2008-05-01,Veranlagte Einkommensteuer,2324.0,2008-05-01,,5,327.0,,0.0,,2008
2008-06-01,Veranlagte Einkommensteuer,5986.0,2008-06-01,,6,3662.0,,0.0,,2008
2008-07-01,Veranlagte Einkommensteuer,6032.0,2008-07-01,,7,46.0,,0.0,,2008
2008-08-01,Veranlagte Einkommensteuer,5977.0,2008-08-01,,8,-55.0,,0.0,,2008
2008-09-01,Veranlagte Einkommensteuer,9759.0,2008-09-01,,9,3782.0,,0.0,,2008
2008-10-01,Veranlagte Einkommensteuer,9827.0,2008-10-01,,10,68.0,,0.0,,2008
2008-11-01,Veranlagte Einkommensteuer,9678.0,2008-11-01,,11,-149.0,,0.0,,2008
2008-12-01,Veranlagte Einkommensteuer,13899.0,2008-12-01,,12,4221.0,,0.0,13899.0,2008
2009-01-01,Veranlagte Einkommensteuer,236.0,2009-01-01,,1,236.0,,337.0,13798.0,2009
2009-02-01,Veranlagte Einkommensteuer,-373.0,2009-02-01,,2,-609.0,,347.0,13179.0,2009
2009-03-01,Veranlagte Einkommensteuer,1262.0,2009-03-01,,3,1635.0,,1567.0,13594.0,2009
2009-04-01,Veranlagte Einkommensteuer,1743.0,2009-04-01,,4,481.0,,1997.0,13645.0,2009
2009-05-01,Veranlagte Einkommensteuer,1763.0,2009-05-01,,5,20.0,,2324.0,13338.0,2009
2009-06-01,Veranlagte Einkommensteuer,5147.0,2009-06-01,,6,3384.0,,5986.0,13060.0,2009
2009-07-01,Veranlagte Einkommensteuer,4907.0,2009-07-01,,7,-240.0,,6032.0,12774.0,2009
2009-08-01,Veranlagte Einkommensteuer,4668.0,2009-08-01,,8,-239.0,,5977.0,12590.0,2009
2009-09-01,Veranlagte Einkommensteuer,8008.0,2009-09-01,,9,3340.0,,9759.0,12148.0,2009
2009-10-01,Veranlagte Einkommensteuer,7722.0,2009-10-01,,10,-286.0,,9827.0,11794.0,2009
2009-11-01,Veranlagte Einkommensteuer,7472.0,2009-11-01,,11,-250.0,,9678.0,11693.0,2009
2009-12-01,Veranlagte Einkommensteuer,11233.0,2009-12-01,,12,3761.0,,13899.0,11233.0,2009
2010-01-01,Veranlagte Einkommensteuer,166.0,2010-01-01,,1,166.0,,236.0,11163.0,2010
2010-02-01,Veranlagte Einkommensteuer,136.0,2010-02-01,,2,-30.0,,-373.0,11742.0,2010
2010-03-01,Veranlagte Einkommensteuer,2616.0,2010-03-01,,3,2480.0,,1262.0,12587.0,2010
2010-04-01,Veranlagte Einkommensteuer,3150.0,2010-04-01,,4,534.0,,1743.0,12640.0,2010
2010-05-01,Veranlagte Einkommensteuer,3089.0,2010-05-01,,5,-61.0,,1763.0,12559.0,2010
2010-06-01,Veranlagte Einkommensteuer,6730.0,2010-06-01,,6,3641.0,,5147.0,12816.0,2010
2010-07-01,Veranlagte Einkommensteuer,6551.0,2010-07-01,,7,-179.0,,4907.0,12877.0,2010
2010-08-01,Veranlagte Einkommensteuer,6283.0,2010-08-01,,8,-268.0,,4668.0,12848.0,2010
2010-09-01,Veranlagte Einkommensteuer,9841.0,2010-09-01,,9,3558.0,,8008.0,13066.0,2010
2010-10-01,Veranlagte Einkommensteuer,9650.0,2010-10-01,,10,-191.0,,7722.0,13161.0,2010
2010-11-01,Veranlagte Einkommensteuer,9310.0,2010-11-01,,11,-340.0,,7472.0,13071.0,2010
2010-12-01,Veranlagte Einkommensteuer,13252.0,2010-12-01,,12,3942.0,,11233.0,13252.0,2010
2011-01-01,Veranlagte Einkommensteuer,152.0,2011-01-01,,1,152.0,,166.0,13238.0,2011
2011-02-01,Veranlagte Einkommensteuer,-44.0,2011-02-01,,2,-196.0,,136.0,13072.0,2011
2011-03-01,Veranlagte Einkommensteuer,2871.0,2011-03-01,,3,2915.0,,2616.0,13507.0,2011
2011-04-01,Veranlagte Einkommensteuer,3087.0,2011-04-01,,4,216.0,,3150.0,13189.0,2011
2011-05-01,Veranlagte Einkommensteuer,3195.0,2011-05-01,,5,108.0,,3089.0,13358.0,2011
2011-06-01,Veranlagte Einkommensteuer,6852.0,2011-06-01,,6,3657.0,,6730.0,13374.0,2011
2011-07-01,Veranlagte Einkommensteuer,6534.0,2011-07-01,,7,-318.0,,6551.0,13235.0,2011
2011-08-01,Veranlagte Einkommensteuer,6233.0,2011-08-01,,8,-301.0,,6283.0,13202.0,2011
2011-09-01,Veranlagte Einkommensteuer,9874.0,2011-09-01,,9,3641.0,,9841.0,13285.0,2011
2011-10-01,Veranlagte Einkommensteuer,9666.0,2011-10-01,,10,-208.0,,9650.0,13268.0,2011
2011-11-01,Veranlagte Einkommensteuer,9384.0,2011-11-01,,11,-282.0,,9310.0,13326.0,2011
2011-12-01,Veranlagte Einkommensteuer,13599.0,2011-12-01,,12,4215.0,,13252.0,13599.0,2011
2012-01-01,Veranlagte Einkommensteuer,216.0,2012-01-01,,1,216.0,,152.0,13663.0,2012
2012-02-01,Veranlagte Einkommensteuer,184.0,2012-02-01,,2,-32.0,,-44.0,13827.0,2012
2012-03-01,Veranlagte Einkommensteuer,3595.0,2012-03-01,,3,3411.0,,2871.0,14323.0,2012
2012-04-01,Veranlagte Einkommensteuer,3898.0,2012-04-01,,4,303.0,,3087.0,14410.0,2012
2012-05-01,Veranlagte Einkommensteuer,3954.0,2012-05-01,,5,56.0,,3195.0,14358.0,2012
2012-06-01,Veranlagte Einkommensteuer,7848.0,2012-06-01,,6,3894.0,,6852.0,14595.0,2012
2012-07-01,Veranlagte Einkommensteuer,7641.0,2012-07-01,,7,-207.0,,6534.0,14706.0,2012
2012-08-01,Veranlagte Einkommensteuer,7514.0,2012-08-01,,8,-127.0,,6233.0,14880.0,2012
2012-09-01,Veranlagte Einkommensteuer,11622.0,2012-09-01,,9,4108.0,,9874.0,15347.0,2012
2012-10-01,Veranlagte Einkommensteuer,11540.0,2012-10-01,,10,-82.0,,9666.0,15473.0,2012
2012-11-01,Veranlagte Einkommensteuer,11276.0,2012-11-01,,11,-264.0,,9384.0,15491.0,2012
2012-12-01,Veranlagte Einkommensteuer,15838.0,2012-12-01,,12,4562.0,,13599.0,15838.0,2012
2013-01-01,Veranlagte Einkommensteuer,304.0,2013-01-01,,1,304.0,,216.0,15926.0,2013
2013-02-01,Veranlagte Einkommensteuer,268.0,2013-02-01,,2,-36.0,,184.0,15922.0,2013
2013-03-01,Veranlagte Einkommensteuer,4567.0,2013-03-01,,3,4299.0,,3595.0,16810.0,2013
2013-04-01,Veranlagte Einkommensteuer,4925.0,2013-04-01,,4,358.0,,3898.0,16865.0,2013
2013-05-01,Veranlagte Einkommensteuer,5106.0,2013-05-01,,5,181.0,,3954.0,16990.0,2013
2013-06-01,Veranlagte Einkommensteuer,9277.0,2013-06-01,,6,4171.0,,7848.0,17267.0,2013
2013-07-01,Veranlagte Einkommensteuer,9134.0,2013-07-01,,7,-143.0,,7641.0,17331.0,2013
2013-08-01,Veranlagte Einkommensteuer,8965.0,2013-08-01,,8,-169.0,,7514.0,17289.0,2013
2013-09-01,Veranlagte Einkommensteuer,13449.0,2013-09-01,,9,4484.0,,11622.0,17665.0,2013
2013-10-01,Veranlagte Einkommensteuer,13329.0,2013-10-01,,10,-120.0,,11540.0,17627.0,2013
2013-11-01,Veranlagte Einkommensteuer,13074.0,2013-11-01,,11,-255.0,,11276.0,17636.0,2013
2013-12-01,Veranlagte Einkommensteuer,17969.0,2013-12-01,,12,4895.0,,15838.0,17969.0,2013
2014-01-01,Veranlagte Einkommensteuer,365.0,2014-01-01,,1,365.0,,304.0,18030.0,2014
2014-02-01,Veranlagte Einkommensteuer,329.0,2014-02-01,,2,-36.0,,268.0,18030.0,2014
2014-03-01,Veranlagte Einkommensteuer,5018.0,2014-03-01,,3,4689.0,,4567.0,18420.0,2014
2014-04-01,Veranlagte Einkommensteuer,5497.0,2014-04-01,,4,479.0,,4925.0,18541.0,2014
2014-05-01,Veranlagte Einkommensteuer,5614.0,2014-05-01,,5,117.0,,5106.0,18477.0,2014
2014-06-01,Veranlagte Einkommensteuer,10102.0,2014-06-01,,6,4488.0,,9277.0,18794.0,2014
2014-07-01,Veranlagte Einkommensteuer,9902.0,2014-07-01,,7,-200.0,,9134.0,18737.0,2014
2014-08-01,Veranlagte Einkommensteuer,9728.0,2014-08-01,,8,-174.0,,8965.0,18732.0,2014
2014-09-01,Veranlagte Einkommensteuer,14362.0,2014-09-01,,9,4634.0,,13449.0,18882.0,2014
2014-10-01,Veranlagte Einkommensteuer,14224.0,2014-10-01,,10,-138.0,,13329.0,18864.0,2014
2014-11-01,Veranlagte Einkommensteuer,14068.0,2014-11-01,,11,-156.0,,13074.0,18963.0,2014
2014-12-01,Veranlagte Einkommensteuer,19385.0,2014-12-01,,12,5317.0,,17969.0,19385.0,2014
2015-01-01,Veranlagte Einkommensteuer,368.0,2015-01-01,,1,368.0,,365.0,19388.0,2015
2015-02-01,Veranlagte Einkommensteuer,418.0,2015-02-01,,2,50.0,,329.0,19474.0,2015
2015-03-01,Veranlagte Einkommensteuer,5582.0,2015-03-01,,3,5164.0,,5018.0,19949.0,2015
2015-04-01,Veranlagte Einkommensteuer,6071.0,2015-04-01,,4,489.0,,5497.0,19959.0,2015
2015-05-01,Veranlagte Einkommensteuer,6125.0,2015-05-01,,5,54.0,,5614.0,19896.0,2015
2015-06-01,Veranlagte Einkommensteuer,10819.0,2015-06-01,,6,4694.0,,10102.0,20102.0,2015
2015-07-01,Veranlagte Einkommensteuer,10565.0,2015-07-01,,7,-254.0,,9902.0,20048.0,2015
2015-08-01,Veranlagte Einkommensteuer,10386.0,2015-08-01,,8,-179.0,,9728.0,20043.0,2015
2015-09-01,Veranlagte Einkommensteuer,15353.0,2015-09-01,,9,4967.0,,14362.0,20376.0,2015
2015-10-01,Veranlagte Einkommensteuer,15207.0,2015-10-01,,10,-146.0,,14224.0,20368.0,2015
2015-11-01,Veranlagte Einkommensteuer,14986.0,2015-11-01,,11,-221.0,,14068.0,20303.0,2015
2015-12-01,Veranlagte Einkommensteuer,20647.0,2015-12-01,,12,5661.0,,19385.0,20647.0,2015
2016-01-01,Veranlagte Einkommensteuer,436.0,2016-01-01,,1,436.0,,368.0,20715.0,2016
2016-02-01,Veranlagte Einkommensteuer,610.0,2016-02-01,,2,174.0,,418.0,20839.0,2016
2016-03-01,Veranlagte Einkommensteuer,6191.0,2016-03-01,,3,5581.0,,5582.0,21256.0,2016
2016-04-01,Veranlagte Einkommensteuer,6593.0,2016-04-01,,4,402.0,,6071.0,21169.0,2016
2016-05-01,Veranlagte Einkommensteuer,6733.0,2016-05-01,,5,140.0,,6125.0,21255.0,2016
2016-06-01,Veranlagte Einkommensteuer,11693.0,2016-06-01,,6,4960.0,,10819.0,21521.0,2016
2016-07-01,Veranlagte Einkommensteuer,11601.0,2016-07-01,,7,-92.0,,10565.0,21683.0,2016
2016-08-01,Veranlagte Einkommensteuer,11360.0,2016-08-01,,8,-241.0,,10386.0,21621.0,2016
2016-09-01,Veranlagte Einkommensteuer,16749.0,2016-09-01,,9,5389.0,,15353.0,22043.0,2016
2016-10-01,Veranlagte Einkommensteuer,16710.0,2016-10-01,,10,-39.0,,15207.0,22150.0,2016
2016-11-01,Veranlagte Einkommensteuer,16582.0,2016-11-01,,11,-128.0,,14986.0,22243.0,2016
2016-12-01,Veranlagte Einkommensteuer,22879.0,2016-12-01,,12,6297.0,,20647.0,22879.0,2016
2017-01-01,Veranlagte Einkommensteuer,414.0,2017-01-01,,1,414.0,,436.0,22857.0,2017
2017-02-01,Veranlagte Einkommensteuer,856.0,2017-02-01,,2,442.0,,610.0,23125.0,2017
2017-03-01,Veranlagte Einkommensteuer,7229.0,2017-03-01,,3,6373.0,,6191.0,23917.0,2017
2017-04-01,Veranlagte Einkommensteuer,7818.0,2017-04-01,,4,589.0,,6593.0,24104.0,2017
2017-05-01,Veranlagte Einkommensteuer,7942.0,2017-05-01,,5,124.0,,6733.0,24088.0,2017
2017-06-01,Veranlagte Einkommensteuer,13530.0,2017-06-01,,6,5588.0,,11693.0,24716.0,2017
2017-07-01,Veranlagte Einkommensteuer,13449.0,2017-07-01,,7,-81.0,,11601.0,24727.0,2017
2017-08-01,Veranlagte Einkommensteuer,13198.0,2017-08-01,,8,-251.0,,11360.0,24717.0,2017
2017-09-01,Veranlagte Einkommensteuer,18936.0,2017-09-01,,9,5738.0,,16749.0,25066.0,2017
2017-10-01,Veranlagte Einkommensteuer,18854.0,2017-10-01,,10,-82.0,,16710.0,25023.0,2017
2017-11-01,Veranlagte Einkommensteuer,18688.0,2017-11-01,,11,-166.0,,16582.0,24985.0,2017
2017-12-01,Veranlagte Einkommensteuer,25256.0,2017-12-01,,12,6568.0,,22879.0,25256.0,2017
2018-01-01,Veranlagte Einkommensteuer,416.0,2018-01-01,,1,416.0,,414.0,25258.0,2018
2018-02-01,Veranlagte Einkommensteuer,965.0,2018-02-01,,2,549.0,,856.0,25365.0,2018
2018-03-01,Veranlagte Einkommensteuer,7498.0,2018-03-01,,3,6533.0,,7229.0,25525.0,2018
2018-04-01,Veranlagte Einkommensteuer,8154.0,2018-04-01,,4,656.0,,7818.0,25592.0,2018
2018-05-01,Veranlagte Einkommensteuer,8239.0,2018-05-01,,5,85.0,,7942.0,25553.0,2018
2018-06-01,Veranlagte Einkommensteuer,13825.0,2018-06-01,,6,5586.0,,13530.0,25551.0,2018
2018-07-01,Veranlagte Einkommensteuer,13551.0,2018-07-01,,7,-274.0,,13449.0,25358.0,2018
2018-08-01,Veranlagte Einkommensteuer,13357.0,2018-08-01,,8,-194.0,,13198.0,25415.0,2018
2018-09-01,Veranlagte Einkommensteuer,19216.0,2018-09-01,,9,5859.0,,18936.0,25536.0,2018
2018-10-01,Veranlagte Einkommensteuer,19116.0,2018-10-01,,10,-100.0,,18854.0,25518.0,2018
2018-11-01,Veranlagte Einkommensteuer,18949.0,2018-11-01,,11,-167.0,,18688.0,25517.0,2018
2018-12-01,Veranlagte Einkommensteuer,25678.0,2018-12-01,,12,6729.0,,25256.0,25678.0,2018
2008-01-01,nicht veranlagte Steuer vom Ertrag,796.0,2008-01-01,,1,796.0,,0.0,,2008
2008-02-01,nicht veranlagte Steuer vom Ertrag,1180.0,2008-02-01,,2,384.0,,0.0,,2008
