,Category,Difference Method,Percentage Method,Date,Year,Month,Rolling Total
2020-06-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2898.7301389302743,2898.7301389302743,2020-06-01,2020,6,2898.7301389302743
2020-07-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2859.6692630788307,2859.6692630788307,2020-07-01,2020,7,2859.6692630788307
2020-08-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2842.8645429457342,2842.8645429457342,2020-08-01,2020,8,2842.8645429457342
2020-09-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2835.718289407504,2835.718289407504,2020-09-01,2020,9,2835.718289407504
2020-10-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2818.798485797608,2818.798485797608,2020-10-01,2020,10,2818.798485797608
2020-11-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2780.3209291403405,2780.3209291403405,2020-11-01,2020,11,2780.3209291403405
2020-12-01,Abgeltungsteuer auf Zins- und Veräußerungserträge,2749.2574227978653,2749.2574227978653,2020-12-01,2020,12,2749.2574227978653
2019-01-01,Körperschaftsteuer,17005.563027104057,16670.736491247997,2019-01-01,2019,1,16670.736491247997
2019-02-01,Körperschaftsteuer,17104.46621326941,16688.72409456293,2019-02-01,2019,2,16688.72409456293
2019-03-01,Körperschaftsteuer,17172.844612922607,16721.14657647238,2019-03-01,2019,3,16721.14657647238
2019-04-01,Körperschaftsteuer,17225.4659878728,16764.77686404494,2019-04-01,2019,4,16764.77686404494
2019-05-01,Körperschaftsteuer,17455.42106368955,16722.54338321718,2019-05-01,2019,5,16722.54338321718
2019-06-01,Körperschaftsteuer,17539.849746654785,16743.176098339576,2019-06-01,2019,6,16743.176098339576
2019-07-01,Körperschaftsteuer,17689.74843408233,16737.711638350047,2019-07-01,2019,7,16737.711638350047
2019-08-01,Körperschaftsteuer,17815.169475249117,16747.22145233148,2019-08-01,2019,8,16747.22145233148
2019-09-01,Körperschaftsteuer,17912.42237349159,16764.195935078646,2019-09-01,2019,9,16764.195935078646
2019-10-01,Körperschaftsteuer,18100.97910069729,16743.26852082803,2019-10-01,2019,10,16743.26852082803
2019-11-01,Körperschaftsteuer,18234.36499955754,16747.736579429733,2019-11-01,2019,11,16747.736579429733
2019-12-01,Körperschaftsteuer,18263.62567063901,16801.271086198714,2019-12-01,2019,12,16801.271086198714
2020-01-01,Körperschaftsteuer,18359.518716875173,16815.94786992328,2020-01-01,2020,1,16815.94786992328
2020-02-01,Körperschaftsteuer,18487.853764994117,16817.135767264823,2020-02-01,2020,2,16817.135767264823
2020-03-01,Körperschaftsteuer,18595.402620288325,16825.796156946508,2020-03-01,2020,3,16825.796156946508
2020-04-01,Körperschaftsteuer,18748.7976578885,16816.330565976878,2020-04-01,2020,4,16816.330565976878
2020-05-01,Körperschaftsteuer,18827.012727046163,16839.978296438225,2020-05-01,2020,5,16839.978296438225
2020-06-01,Körperschaftsteuer,18876.476800520384,16878.07639778977,2020-06-01,2020,6,16878.07639778977
2020-07-01,Körperschaftsteuer,19083.8770867692,16848.97651014254,2020-07-01,2020,7,16848.97651014254
2020-08-01,Körperschaftsteuer,19221.148255168533,16849.232765785437,2020-08-01,2020,8,16849.232765785437
2020-09-01,Körperschaftsteuer,19183.97081462372,16921.412195035642,2020-09-01,2020,9,16921.412195035642
2020-10-01,Körperschaftsteuer,19197.301880009287,16969.378858694956,2020-10-01,2020,10,16969.378858694956
2020-11-01,Körperschaftsteuer,19323.305766316458,16973.34520733942,2020-11-01,2020,11,16973.34520733942
2020-12-01,Körperschaftsteuer,19538.67085542353,16939.91508697677,2020-12-01,2020,12,16939.91508697677
2019-01-01,Steuern vom Umsatz,116729.15440154777,116758.60815748452,2019-01-01,2019,1,116729.15440154777
2019-02-01,Steuern vom Umsatz,116970.33643146013,117036.5067453562,2019-02-01,2019,2,116970.33643146013
2019-03-01,Steuern vom Umsatz,117173.83750897474,117267.03964062124,2019-03-01,2019,3,117173.83750897474
2019-04-01,Steuern vom Umsatz,117383.00868395426,117502.97565795975,2019-04-01,2019,4,117383.00868395426
2019-05-01,Steuern vom Umsatz,117570.71018123209,117709.01969725743,2019-05-01,2019,5,117570.71018123209
2019-06-01,Steuern vom Umsatz,117741.63276817351,117894.98424545697,2019-06-01,2019,6,117741.63276817351
2019-07-01,Steuern vom Umsatz,117997.984339008,118198.36914897154,2019-07-01,2019,7,117997.984339008
2019-08-01,Steuern vom Umsatz,118150.87805728645,118356.12277371612,2019-08-01,2019,8,118150.87805728645
2019-09-01,Steuern vom Umsatz,118371.93229510513,118614.80416351184,2019-09-01,2019,9,118371.93229510513
2019-10-01,Steuern vom Umsatz,118539.21714714819,118795.77945782412,2019-10-01,2019,10,118539.21714714819
2019-11-01,Steuern vom Umsatz,118792.1154954561,119105.64165299466,2019-11-01,2019,11,118792.1154954561
2019-12-01,Steuern vom Umsatz,119459.28983089824,119980.96636743218,2019-12-01,2019,12,119459.28983089824
2020-01-01,Steuern vom Umsatz,119641.06565561928,120182.41598418409,2020-01-01,2020,1,119641.06565561928
2020-02-01,Steuern vom Umsatz,119892.42522437096,120482.21192058732,2020-02-01,2020,2,119892.42522437096
